GlobalID,Observer,Study Site,Date,Time,Microbrand,Frequency,Treatment Group,Same location as last location?,EastingNAD83,NorthingNAD83,TI,T2,Status,Habitat Type,GPS Accuracy (m),Estimation Quantifiers,Visible?,Position,Snake  % in sun,Snake to water distance (m),Snake to debris pile distance (m),Snake to water control distance (m),Snake to terr imped distance (m),Activity,Substrate,Disturb before located?,Disturb after located?,Wind,Weather,Air Temp,Substrate Temp,Water Temp,Confidence in hab/veg?,Habitat%WATER,Habitat%FLOATING,Habitat%SUBMERGENT,Habitat%EMERGENT,Habitat%TERRESTRIAL,Habitat%LITTER,Habitat%ROCK/RIP RAP,Habitat%BARE GROUND,Habitat%TOTAL,Veg%DUCKWEED,Veg%AZOLA,Veg%ALGAE,Veg%COONTAIL,Veg%PONDWEED,Veg%MILFOIL,Veg%TULE,TULE height,Veg%CATTAIL,CATTAIL height,Veg%SEDGE,SEDGE height,Veg%RUSH,RUSH height,Veg%PARROT FEATHER,PARROT FEATHER height,Veg%PRIMROSE,PRIMROSE height,Veg%SMARTWEED,SMARTWEED height,Veg%ARROWHEAD,ARROWHEAD height,Veg%RICE,RICE height,Veg%WATERGRASS,WATERGRASS height,Veg%SPRANGLETOP,SPRANGLETOP height,Veg%WATER HYACINTH,WATER HYACINTH height,Veg%HORSETAIL,HORSETAIL height,Veg%TURF GRASS,TURF GRASS height,Veg%BUNCH GRASS,BUNCH GRASS height,Veg%SINGLE STEM,SINGLE STEM height,Veg%WEEDY DICOT,WEEDY DICOT height,Veg%SHRUB,SHRUB height,Veg%BLACKBERRY,BLACKBERRY height,Veg%GRAPE,GRAPE height,Veg%OTHER,OTHER height,Veg%TOTAL,Notes,
,Allie_Essert,Natomas,8/26/2019,11:06 AM,13121,164.8795,CanalResident,no,626168,4287194,20.58,20.55,Release,,3,exact,,,,,,,,,,,,Light_Air,Sunny/Clear,32,32,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Allie_Essert,Natomas,8/26/2019,11:24 AM,13078,164.5015,CanalResident,no,626817,4287989,17.13,17.22,Alive,IrrigCanal,3,exact,no,Unknown,Unknown,1,,,20,NotMoving,"4_Underground, 6_HiddenUnderVeg",no,no,Calm,Sunny/Clear,32,32,25,100,0,0,0,5,40,55,30,0,100,0,0,0,0,0,0,0,0,0,0,10,15to50cm,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,50to100cm,10,50to100cm,0,0,0,0,0,0,0,0,0,0,
,Allie_Essert,Natomas,9/11/2019,12:11 PM,13121,164.8795,,yes,626139,4287698,24.215,24.05,alive,irrigcanal,3,exact,yes,sprawled,0%,0,,7,,moving,7_WaterSurface,no,no,Light_Air,clear,24,17,17,100,70,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,in weird location,
,Allie_Essert,Natomas,9/11/2019,12:46 PM,2462,165.5895,,no,627266,4287725,25.8,25.6,release,,,exact,yes,,,,,,,,,,,light_breeze,clear,26,30,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Allie_Essert,Natomas,9/11/2019,11:28,2818,166.9951,,no,626846,4286932,20.58,20.56,alive,IrrigCanal,3,exact,no,Unknown,0,2,,8,12,not moving,4_underground,no,no,light_breeze,clear,24,26,18,80,0,0,0,0,50,30,20,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,50-100cm,0,0,0,0,0,0,0,0,0,by real estate sign,
,Allie_Essert,Natomas,9/11/2019,11:50,13151,165.7527,,no,626815,4288166,19.45,19.4,alive,IrrigCanal,3,exact,yes,partly coiled,10,2,,30,25,not moving,5_partly underground,no,no,light_breeze,clear,24,26,18,100,0,0,0,0,50,30,0,20,100,0,0,0,0,0,0,0,0,0,0,40,15-50cm,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,50-100cm,0,0,0,0,0,0,0,0,100,rice road,
,Allie_Essert,Natomas,9/11/2019,1:46 PM,13115,165.1754,,yes,629364,4288053,19.03,19,alive,Fwmarsh,3,exact,no,Unknown,Unknown,1,,,,not moving,6_HiddenUnderVeg,no,no,light_breeze,clear,27,27,21,80,10,0,0,50,0,40,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
,Allie_Essert,Natomas,9/11/2019,3:01 PM,2829,164.3066,,no,629602,4207965,16.36,16.41,alive,FWmarsh,3,exact,no,unkown,unkown,2,,,,not moving,3_VegONOrOverWater,no,no,light_air,clear,30,29,24,80,10,0,0,40,0,50,0,0,100,0,0,0,0,0,0,100,greater than 100cm,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,in central area of BKS 2 wet… cannot read second half of the last word,
,Allie_Essert,Natomas,9/12/2019,10:27 AM,2856,164.508,,no,625304,4279102,17.28,17.26,alive,Fwmarsh,3,exact,yes,partly coiled,60,2,,,,notMoving,3_VegONOrOverWater,no,no,light_air,clear,24,24,23,100,20,0,0,50,0,30,0,0,100,0,0,0,0,0,0,85,greater than 100cm,15,greater than 100cm,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,same wetland moved SE,
,Allie_Essert,Natomas,9/12/2019,11:17 AM,2941,166.7578,,no,624986,4278903,21.48,21.46,alive,terrestrial,3,exact,no,unkown,unkown,5,,40,,not moving,4_underground,no,no,light_breeze,clear,27,26,21,100,0,0,0,0,0,10,90,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,moved south to next terrestrial area in rip rap,
